摩擦係数（非閉塞）,粘度（非閉塞）,摩擦係数（閉塞）,粘度（閉塞）,,線ｘ,線ｙ,,粒子数,,限界粘着力
10,8.00E+04,2,1.00E+05,,,,,20576,,9.00E+04
7,8.00E+04,4,9.00E+04,,1.18E+05,1,,,,
2,8.00E+04,7,9.00E+04,,1.00E+05,2,,,,
2,9.00E+04,10,9.00E+04,,9.00E+04,4,,,,
4,8.00E+04,1,1.30E+05,,9.00E+04,7,,,,
1,9.00E+04,1,1.20E+05,,9.00E+04,10,,,,
1,1.15E+05,1,1.20E+05,,,,,,,
1,1.15E+05,1,1.60E+05,,,,,,,
0.5,1.60E+05,1,1.20E+05,,,,,,,
0.5,2.00E+05,,,,,,,,,
0,2.00E+05,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,9.00E+04,0,,,,,,,
,,9.00E+04,5,,,,,,,
,,9.00E+04,10,,,,,,,
