摩擦係数（非閉塞）,粘度（非閉塞）,摩擦係数（閉塞）,粘度（閉塞）,,線ｘ,線ｙ,,粒子数,,線ｘ,線ｙ,,限界粘着力
2,9.00E+04,2,1.00E+05,,1.15E+05,1,,30845,,1.15E+05,1,,8.00E+04
4,8.00E+04,4,9.00E+04,,9.50E+04,2,,,,9.50E+04,2,,
7,7.00E+04,7,8.00E+04,,8.50E+04,4,,,,8.50E+04,4,,
10,8.00E+04,10,9.00E+04,,7.50E+04,7,,,,8.00E+04,7,,
1,1.10E+05,1,1.20E+05,,8.50E+04,10,,,,8.00E+04,10,,
1,1.00E+05,,,,,,,,,,,,
1,1.10E+05,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,8.00E+04,0,,,,,,,,,
,,,8.00E+04,5,,,,,,,,,
,,,8.00E+04,10,,,,,,,,,
