摩擦係数（非閉塞）,粘度（非閉塞）,摩擦係数（閉塞）,粘度（閉塞）,,粘度,摩擦係数,,粒子数,,粘度,摩擦係数,,限界粘着力
0,1.40E+05,0,2.00E+05,,1.90E+05,0,,16158,,190000,0,,7.00E+04
0,2.00E+05,2,1.80E+05,,8.50E+04,2,,,,85000,2,,
0,1.70E+05,2,1.00E+05,,6.50E+04,4,,,,7.00E+04,4,,
0,1.80E+05,2,9.00E+04,,7.50E+04,7,,,,7.00E+04,7,,
2,8.00E+04,4,7.00E+04,,3.50E+04,10,,,,7.00E+04,10,,
4,5.00E+04,7,8.00E+04,,,,,,,,,,
7,5.00E+04,10,7.00E+04,,,,,,,,,,
10,5.00E+04,10,7.00E+04,,,,,,,,,,
10,1.00E+01,10,6.50E+04,,,,,,,,,,
7,7.00E+04,,,,,,,,,,,,
4,6.00E+04,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,10,7.00E+04,,,,,
,,,,,,,5,7.00E+04,,,,,
,,,,,,,0,7.00E+04,,,,,
