摩擦係数（非閉塞）,粘度（非閉塞）,摩擦係数（閉塞）,粘度（閉塞）,,線ｘ,線ｙ,,粒子数,,限界粘着力
10,5.00E+04,10,3.00E+05,,1.45E+05,0.5,,41119,,7.50E+04
10,8.00E+04,10,2.50E+05,,9.00E+04,2,,,,
10,1.10E+05,10,2.25E+05,,7.50E+04,4,,,,
10,2.00E+05,7,2.12E+05,,7.50E+04,7,,,,
10,2.12E+05,7,1.70E+05,,7.50E+04,10,,,,
7,2.00E+04,7,1.00E+05,,,,,,,
7,2.50E+04,7,6.00E+04,,,,,,,
5,0.00E+00,7,4.00E+04,,,,,,,
3,0.00E+00,7,3.00E+04,,,,,,,
2,0.00E+00,5,4.00E+04,,,,,,,
1,0.00E+00,5,3.00E+04,,,,,,,
,,5,2.50E+04,,,,,,,
,,5,1.50E+04,,,,,,,
,,5,1.00E+04,,,,,,,
,,3,0.00E+00,,,,,,,
,,2,0.00E+00,,,,,,,
,,1,0.00E+00,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,7.50E+04,0,,,,,,,,
,7.50E+04,5,,,,,,,,
,7.50E+04,10,,,,,,,,
