normal_mu,normal_coh,hang-up_mu,hang-up_coh,,,,
1,3.00e+04,1,8.00e+04,,,,
1,4.00e+04,1,5.00e+04,,,,
1,4.50e+04,2,5.00e+04,,,,
1,4.50e+04,4,4.50e+04,,,,
2,4.50e+04,0,1.00e+05,,,,
4,3.50e+04,5,5.00e+04,,,,
4,4.00e+04,10,4.00e+04,,,,
0,7.00e+04,8.5,5.00e+04,,,,
0,8.50e+04,7,5.00e+04,,,,
0,9.20e+04,6,4.50e+04,,,,
5,2.50e+04,4,5.00e+04,,,,
5,3.00e+04,4,4.50e+04,,,,
10,2.00e+04,,,,,,
10,3.00e+04,,,,,,
10,3.50e+04,,,,,,
8.5,3.50e+04,,,,,,
8.5,4.00e+04,,,,,,
8.5,4.50e+04,,,,,,
7,4.50e+04,,,,,,
6,4.00e+04,,,,,,
5,4.50e+04,,,,,,
4,4.00e+04,,,,,,
