1出口,２　出口root,３　立坑底部,,
1,6.00E+04,5,7.50E+04,1
1,5.30E+04,5,5.00E+04,1
1,5.00E+04,5,2.50E+04,1
0,9.00E+04,5,0.00E+00,
0,8.75E+04,10,7.50E+04,
0,7.50E+04,10,5.00E+04,1
0,6.00E+04,10,2.00E+04,
10,0.00E+00,10,1.00E+04,3
9,0.00E+00,1,9.20E+04,3
8,0.00E+00,1,8.75E+04,
7,0.00E+00,1,7.50E+04,3
6,0.00E+00,1,1.00E+05,
5,0.00E+00,0,9.20E+04,
4,0.00E+00,0,9.10E+04,3
3,0.00E+00,0,1.00E+05,3
2,0.00E+00,10,0.00E+00,
,,9,0.00E+00,
,,8,0.00E+00,
,,7,0.00E+00,
,,6,0.00E+00,
,,5,0.00E+00,
,,4,0.00E+00,
,,3,0.00E+00,
,,2,0.00E+00,
